"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
11.23940278,7.622191634,8.167936279,10.87190943,5.407961414,6.796735775,7.914241409,9.854801803,7.571363921,10.61678317,9.926675759,4.67176445,6.210427579,6.439740111,13.84601909,8.785600488,6.593710473,4.07981249,7.237095189,7.900504456,11.18561009,4.421537053,8.622551645,8.607824994,7.280468527,7.375506137,3.917477083,5.044666141,7.274969409,7.741650642,5.980036014,4.95414037,7.314446276,8.423644806,6.163552293,3.923419669,5.888134036,7.585951021,6.037463864,6.405217185,3.699121885,8.736344048,9.50939708,4.137508488,5.585927615,6.166322816,7.027726888,5.764493296,8.171038455,7.42167151,6.056552105,5.15249327,5.035905337,4.886665957,5.007154719,5.014938583,5.197987598,5.268701067,3.749616834,7.090437418,8.137569937,3.925422944,6.345487984,4.68283294,8.189077578,5.624135955,4.138047321,4.8775472,6.790098404,4.701987142,8.077061881,6.377701227,5.353171164,6.295306401,5.845787621,8.167870554,10.13247051,4.428675041,7.221300339,7.944418191,8.995886778,6.127083838,8.13575409,5.595787928,5.733960781,6.695723447,8.59903342,4.94963643,6.488553983,4.704205024,4.020549344,5.213653547,8.991531855,8.634915037,5.958933597,6.279371107,4.488102954,9.663189981,4.750512867,6.360236842,13.90771123,5.531615643,4.420832789,6.89024205,7.833038602,9.836007781,5.47281154,13.82970621,5.646393921,7.539190747,6.982529841,5.062178872,7.032913222,8.046455236,6.244967944,6.197329822,8.767344769,8.813399676,5.736433458,6.991007862,3.897605713,4.583721977,6.48593535,4.392130114,5.979243723,7.000717037,6.873860703,5.690036088,5.31070908,7.192507942,4.595088319,8.608218547,10.33188281,4.147080603,10.21133554,7.695309781,8.085931991,6.382200658,6.70971778,4.66383332,3.756145107,7.431442125,7.096315283,3.966286812,6.245447991,8.103277608,8.229382455,5.81306234,6.698265643,6.75141466,4.912473065,4.989500421,5.753364822,3.683152911,4.656091208,6.210211464,8.816050857,4.763194999,6.15543988,0
11.4328528,8.234789749,9.68100394,10.88469947,5.689365765,7.664572062,9.364986579,10.53522118,6.889243851,11.35476513,9.419192984,5.266679202,9.657890816,6.645097144,13.73309265,10.1528474,6.488458442,4.643802442,6.356771054,11.7860667,11.67811261,4.16617754,10.44742175,9.588767728,7.766295333,8.226279423,4.118901537,4.808327247,7.444957505,8.171828187,4.742661098,5.048295393,6.344480438,7.974383877,6.652060427,3.623968577,5.982414561,6.313486208,5.815488026,8.504438562,3.768601127,7.238541375,8.383515903,4.359618297,5.796136214,5.92601645,6.642656227,5.936008603,6.395801616,5.610548208,5.946866784,4.788701563,5.117892236,5.742037181,4.875583122,5.406842412,8.926078089,5.419007041,3.595464503,7.297600746,8.013480109,3.917031162,6.419776082,4.577970742,7.477959985,9.571421424,3.834126132,4.660227249,8.270585638,4.523994417,9.362866516,8.078636067,7.116825184,7.45216151,6.332796209,8.485831391,8.445933552,4.358074367,7.786148091,8.748776911,8.175910508,6.864787937,6.728903992,5.167147968,5.920662558,6.959393569,9.589153572,4.94399786,5.964388642,5.373877741,4.142998356,5.815652494,9.283476288,10.40419576,5.5839906,5.744219136,4.944656124,11.50313983,4.616117104,8.451388965,13.44999858,6.788022587,4.475447644,7.93189543,7.046495701,9.442420317,5.83829491,13.6217849,5.679019349,7.690165004,7.845506861,5.554605286,9.303175465,6.770049663,5.650567889,5.959178271,8.496397454,10.54423072,5.776516428,6.3121595,4.22346751,4.842220365,6.580312139,4.38147392,4.763579102,6.774174346,7.052416325,6.401378377,5.463706514,8.010816598,4.87714908,7.49937789,10.25980806,4.433065639,10.16797291,7.167120442,7.605266738,6.378444542,6.521581212,5.139918096,3.620722638,7.32198779,6.17526123,4.540051184,6.826509894,8.852679045,8.72687438,5.172848951,6.868388397,5.951904833,5.182723669,5.546091388,5.791541608,4.069721689,9.137649385,6.153714743,8.480220353,8.561316518,6.78973589,0
11.61202368,7.76100579,8.840011793,11.06681003,5.735784662,8.088849918,9.32309288,10.95833291,8.731652193,11.41045977,10.40079689,4.476934129,8.901556434,5.831254401,13.91745661,10.51806852,5.988224679,4.489098931,7.193468738,8.023742509,11.57915239,4.402534136,10.52523058,9.209133281,8.633074869,9.225846902,4.404366398,5.052660467,7.394401614,8.491470583,4.975489347,4.395554646,7.44181619,8.816726551,6.715397485,3.867320149,5.848801053,8.273139594,6.303929497,7.852066694,4.375507224,8.688110102,10.13329704,3.963408251,5.166796871,5.760753119,6.997311746,5.860129967,7.765149194,6.119277568,5.175676312,5.756570372,4.341613565,5.474797767,5.183556594,4.732920233,4.796662884,4.979687611,3.473413351,8.602186622,8.646900574,3.622946908,5.985558706,4.263658985,8.212690502,7.288626348,4.105681553,4.393468809,6.16625059,4.411768406,9.168205578,7.390815683,6.570096578,6.543859256,7.312697396,9.044173346,10.00663589,3.825387174,7.150465099,8.509067725,9.35624487,6.084844237,6.54153958,5.106587129,7.113354601,6.976479945,9.049829966,5.171548255,6.58058827,4.83733422,4.064476816,4.665425961,9.704654489,10.53542753,5.387993635,6.685864564,4.736109648,10.48896616,4.639060385,6.74953397,13.81706158,4.745653256,4.33179324,6.781816656,7.637951194,10.0756212,4.615983198,13.83280557,5.466632758,7.180201704,8.077279292,5.020378359,7.373849786,7.410096455,5.828504863,6.519737991,8.955971097,10.61658489,5.15279114,7.420054344,4.080385361,4.918935604,5.62729085,3.97166389,5.099262248,8.133567348,6.152951726,6.010430833,5.032331671,8.642753485,4.460403699,6.344678687,10.13105104,3.983886496,10.62431785,8.32798985,7.903573635,5.86696667,5.761793187,4.60575151,3.727323058,7.415166849,7.096645894,3.657732626,5.779077275,7.526743673,8.894655489,5.799416514,8.107756756,5.905070594,5.539818417,4.567644674,5.713932303,3.67966024,4.326521544,6.033049952,8.341738777,9.508346423,7.078105907,0
11.25120197,7.898015532,7.38645136,10.88269235,5.834269482,7.274679094,8.337000503,9.698086184,7.543495249,11.47166657,9.490608787,4.714949666,7.246168014,6.26728079,13.84313077,10.00799413,6.397257604,4.33934279,7.308091661,8.306336519,12.01275221,4.693053468,9.350128517,7.716419843,6.737573572,6.787295696,3.971064779,4.921603061,7.241487702,8.014139271,5.019349994,4.453746028,7.275737655,8.552481407,6.584733188,3.769389552,6.047116343,5.604878003,5.527508716,6.994052784,3.551085196,7.702064279,8.839041432,4.127711644,5.698436723,6.003127746,6.745633178,5.661174561,7.556540793,5.834642869,5.718669564,5.350761121,4.675487228,4.968703577,4.736411879,5.250397588,5.628886297,5.257852913,3.760515526,7.574122498,7.994253096,3.80207903,5.922710675,4.715715484,7.922045608,6.057403547,4.341271696,4.714254882,6.253670017,4.543347695,9.332328659,5.905140288,4.569210359,6.414906273,5.796087113,7.675475604,9.945053369,4.037006789,6.721260506,8.132428203,8.294471918,6.689619632,6.356231919,5.00575026,5.276509855,6.706917242,8.431248538,5.134424554,6.253087078,4.834733355,4.086573561,5.471073963,9.481822547,9.303589583,6.08365778,5.002947163,4.585830997,9.813008439,4.447929427,6.80456353,13.90256344,5.483409938,4.786883877,6.930072539,7.986807484,10.59319691,6.193280915,13.88437279,5.756878216,7.134051724,7.673984965,5.255669159,6.263917599,7.742686983,5.891042744,6.278318324,8.917053782,9.312002659,5.533693322,7.177319121,4.112185671,4.803566624,6.598658609,4.066555371,4.765178341,7.75820815,6.774586363,5.917796644,4.980895945,8.325846354,4.659562455,6.92038132,9.954863044,3.893472904,9.742480939,7.735140271,8.367258936,6.26538009,7.094717724,4.991564824,3.668744233,7.906865088,6.502126519,4.139300618,6.360383657,8.366351979,7.609482511,5.674250228,6.958241207,6.144450864,5.27106925,4.969748816,5.727102977,3.790199495,5.032336285,5.886015577,8.625625616,5.855172629,6.839068381,0
11.26502484,8.038392072,8.107512357,10.73217703,5.766156137,7.192372752,8.838342058,9.273301816,7.350297933,10.86533123,10.03777803,4.400909305,10.53681879,5.839481943,14.06451514,10.20850523,6.24980031,4.223486724,6.842445897,7.772755302,12.03888983,4.91128695,9.178282848,8.344241463,7.221940588,7.731217609,4.423946085,5.260750295,7.16352896,9.092033902,4.916651691,4.403282939,7.218472509,9.031035452,6.220754233,4.074430041,5.739940771,7.43107837,6.654225082,9.976427482,4.223486724,7.694873581,8.678033472,4.210967651,5.355628581,6.143185637,6.794526603,5.052685924,8.681734965,6.22007516,5.17635222,4.763400359,4.836006085,4.87976088,4.93070938,4.836858178,5.411370933,4.974526512,3.818308147,7.709551468,7.679627165,3.768992422,5.601996216,4.442788509,8.039677454,8.306901458,4.268477402,4.605270947,6.489018983,4.518287687,8.035975518,7.452147433,7.239851073,6.705515553,6.251912829,8.735559405,9.530400979,3.91023534,7.599170534,9.136004554,8.281716328,5.958357225,5.432744216,4.5717351,5.370774341,7.748061553,9.177980262,4.876451373,7.152276443,4.740358067,4.014920294,5.06175673,10.16892019,9.048891232,5.601996216,5.875884559,4.647186306,10.4419062,4.784255215,6.946658102,13.99455544,6.706895787,4.363446518,6.505459528,8.250898926,10.31138405,4.921714336,13.98184495,5.501155861,7.071052313,7.416504208,4.869059615,7.15417943,7.108209983,6.059775853,6.38439792,9.334429581,9.105891375,5.324566854,7.63611609,3.903530343,4.645560945,5.772305935,4.013238405,4.542038193,7.849122636,6.403792598,5.067982164,5.454271395,8.289149119,4.686303334,5.41284957,9.965428818,4.158910329,10.16670342,7.664871904,8.108686473,6.460183107,7.114038729,4.523686361,3.759096115,7.395916375,6.166308094,3.92346101,5.90864905,8.143994027,9.184746673,6.523471165,8.048430458,5.827609909,5.185415119,4.574521094,5.841778224,3.514191115,4.313676762,6.335660345,8.542937963,11.28509497,7.22566414,0
11.40046728,7.742460934,8.150091567,10.9382097,5.679833552,6.691939332,8.13652091,10.05943953,7.799052255,11.32770504,9.925378116,4.641692386,8.131637304,6.187626753,14.00070995,9.197872962,6.080761531,3.81120903,7.347007423,8.721859253,11.95857577,4.661346955,10.01223426,8.205520859,7.486437799,7.780462543,3.719202868,5.642755109,6.904988014,8.055451204,5.283339587,4.50212072,7.265927686,8.893276064,6.336125185,3.778174104,5.950516987,7.525898917,5.773207253,6.838611783,4.102910994,8.10340891,9.630609144,4.035548315,5.564337221,5.885093473,7.254469794,5.703194731,9.008801447,6.509597599,5.503626205,5.708264119,4.473016703,4.934636516,5.236626804,5.125793991,6.017684269,4.897627706,3.586826527,8.036396155,8.172365009,3.917315166,5.581238514,4.614316504,8.042636269,5.543509571,4.027862817,4.68826738,6.622026475,4.132766318,9.847696842,6.447806367,5.287313678,6.707421741,6.233276579,7.722268342,10.19607833,3.875808248,6.507864093,7.463329186,8.524898431,6.377619784,7.375515602,5.896472608,5.687048975,7.696968921,8.403973739,5.217942341,6.756104484,4.823989769,4.080244919,5.218581089,9.993594019,10.12099801,5.586967659,5.06732439,4.538243184,9.75396191,4.570771868,6.481987935,13.93434358,4.138705212,4.41805126,6.720395149,7.98402187,10.19803961,5.222322886,13.89487975,5.672151562,6.888769263,7.621778621,4.860235239,6.837030539,7.846559183,6.033701873,6.263989034,10.04929386,10.09258268,5.215989278,7.780309719,4.221024248,5.148321828,6.140736057,4.182173356,5.956693042,8.188163223,6.258320048,5.769738651,5.076459203,9.129341841,4.698504849,5.572917104,9.299242078,3.934371447,10.22823697,8.383531192,8.658659379,6.163384174,6.657602756,4.648508017,4.115346118,7.823877108,6.591605191,3.717972973,6.126241886,6.825887315,8.811595896,6.739751925,7.591224273,6.073520294,5.298075221,4.66764946,5.726838329,3.60217568,5.512390288,6.402170124,8.296835654,6.335329857,6.576661365,0
11.31643065,7.941187495,7.18573306,10.81826844,5.620683433,7.329104779,9.216858618,9.48225204,7.626018661,10.8800411,9.232001951,4.889167729,7.291809848,6.479737276,13.87110131,10.30717175,5.773022108,4.112188699,7.534789959,9.53326813,11.50019643,4.708196801,9.767141273,9.177645922,6.958526176,7.113424066,3.802051469,4.797619906,7.135792945,7.492456245,5.138801624,4.276965267,7.380722645,7.840781227,6.04337381,3.819057411,6.23345272,6.15433908,6.753206881,7.327275843,4.20438121,7.568865444,9.148358829,4.072780182,5.54198453,6.188560776,7.295157384,5.713130436,8.43939669,6.287187984,6.064079278,5.574359254,5.084827017,5.06996229,4.721583382,5.310882284,6.259450808,5.155709831,3.751147756,8.193599204,8.401393228,3.843536446,5.617479102,4.970521962,7.861802505,5.813839927,3.845227801,4.731752677,6.069504241,4.506622633,9.09439401,6.883414515,5.130025497,6.452400511,6.239689243,7.443810199,9.886159811,4.061494802,6.842994249,7.685672685,8.665774097,6.369065054,6.796872525,5.129762883,5.684852355,8.959833551,8.245352608,4.933303016,6.325848927,4.805471537,4.120309195,5.627160018,9.301901942,9.626906224,6.033964131,4.943401237,4.619497748,9.683339855,4.771491518,6.931028279,13.71157767,3.80410086,4.818756089,6.95452748,7.752354161,9.549956706,5.250097236,13.83210903,5.702856138,7.168481458,7.988002367,5.30028968,6.848652393,7.388340011,5.922934839,6.543502302,9.46395858,9.795162986,5.45494583,7.43753285,4.260603198,5.119667472,6.487944785,4.20096271,5.150025721,8.012681861,6.566548461,5.696151088,5.519769878,7.949530577,4.832204539,5.571072395,9.265415845,4.110556541,10.4864408,8.02847592,8.902163569,6.436290495,6.285030277,4.799388232,4.200007041,7.652922145,6.717747743,3.675434079,6.204686555,7.25137617,8.840203816,6.071784139,6.749299849,5.965884057,5.472255265,4.630076332,5.983117345,3.746742656,6.139972844,6.306443122,8.837475443,4.833883704,7.971516802,0
10.94588307,7.576066194,10.87423056,9.7736431,6.664854154,7.364215048,9.720276707,10.50104695,8.029554485,9.71906184,8.788880793,4.600124787,9.515656874,6.705308398,13.7158169,7.096617004,7.965547431,5.173471931,5.724071174,10.95111906,10.67636858,4.942853624,10.08281365,10.74327468,5.475550539,8.478122317,4.301704249,4.897692158,7.653001365,7.212763305,7.307416065,6.000501813,7.238561415,7.687316152,6.0277594,3.716471512,5.996393377,5.68453052,7.384079464,8.016609312,3.471850172,6.783464968,8.937360243,4.216147984,5.69310669,7.008377022,7.341726258,6.618051386,7.595303514,5.115393696,5.432192044,4.482170092,4.951737163,4.833306879,4.34814765,5.210933479,6.628003796,5.093631684,3.78513078,7.492659626,7.452862489,3.7137428,6.323134744,4.772295838,7.432201405,7.967002687,4.081994325,4.559717692,8.881817052,4.828220807,7.273474618,8.126216872,8.495554594,6.793019399,7.241346193,8.04843466,7.147622658,5.614552455,7.365008604,7.409650086,7.246426894,6.619482493,5.715402078,4.512001302,5.391327771,7.616363718,9.013843282,4.92748111,6.919884432,4.576684254,4.123515,6.315420141,7.291315733,10.1352179,10.52533148,6.939996385,4.833724769,11.22035232,4.814880512,7.955891462,13.65863869,10.95872168,10.53005953,7.517915343,7.88727715,8.622624924,6.132193633,13.77592614,5.860961924,8.242721157,8.190185319,9.926377714,8.875158146,5.442541889,7.30042404,6.682295713,7.230622652,10.25224142,6.914248453,7.893247415,3.860862221,4.892012917,6.743289273,4.334699497,4.745837183,7.658970407,6.872882727,5.424008679,9.921452732,6.553399549,4.779455471,7.309821032,9.701020093,4.787886317,10.08557296,6.369999976,7.888267966,7.099102941,6.659621639,4.734991444,3.495009914,6.907670427,5.768985987,4.028501318,6.570360623,10.42503393,8.729156246,4.541032312,6.873009278,6.225190876,5.482225306,5.449534868,6.185024272,4.784208228,7.597897625,6.467864974,8.991838793,9.670761653,7.096067538,1
12.14629311,8.308748635,4.360271095,11.31650063,7.476767794,7.114199065,8.718419305,9.012399099,10.0071436,8.155727067,10.96698712,5.61107617,8.861927562,7.953318349,13.7221182,9.62221056,6.392712422,6.011310301,7.552642652,10.76315748,11.2832632,6.811642763,12.36577574,10.37313641,9.818335774,10.50616777,4.112755308,4.122642181,7.455738327,9.18841125,10.09050361,8.642557233,6.888577976,8.401612878,5.47895577,3.926160702,5.752882482,7.438231745,7.303823789,11.35349629,3.498887968,9.763588532,9.198801094,4.115582986,6.670540537,5.742678763,8.08381615,4.727914774,8.369288528,6.081769459,6.016338252,5.893790039,4.582126409,4.919782181,6.538981592,7.774156903,4.744481436,7.177030814,3.744597277,8.518004495,9.406501758,3.785380798,5.666807839,4.551194962,8.32642946,6.496732304,4.327620002,4.230626957,5.649384617,4.657874595,5.987867267,3.950584175,3.787022374,5.186589145,7.82865271,7.584000069,8.424674606,4.117283422,8.135908659,9.558777531,7.060161318,6.589380883,10.46150192,8.233759715,5.255538115,6.306452705,7.645474685,5.300795522,6.961338054,4.55422103,9.025276439,5.315047531,7.661381675,12.35229341,6.173448312,7.783074351,6.165622373,10.32468868,5.452131063,7.291867565,13.61773906,5.219641873,4.939653553,6.909578982,9.238759086,8.303949243,8.276194997,13.60074881,5.493004586,7.896935043,9.226980732,5.452733131,9.288083807,6.331703852,5.811189319,7.925728995,4.9701922,12.18291229,5.325872127,9.270483622,3.799205111,5.332812914,6.280463609,4.168763706,9.387363638,8.42676145,6.262880894,5.149077777,5.479179302,9.13995719,4.434037332,9.431575997,9.574501165,4.326754347,10.3748829,6.64221851,7.049845331,6.440113046,6.084763624,5.608196552,3.869519514,6.821366881,7.419179475,3.721504106,5.808545241,7.5734999,7.934818439,4.114528128,5.711469178,6.851268242,6.462615323,5.361791124,7.846610619,3.662356446,3.98724429,6.758653123,8.422387918,3.514892094,6.027524221,1
